"Nome do projeto","Prof Didática"
"Intervalo de datas","03/01/2025 00:00 - 05/19/2025 23:59"


"URL visitada corresponde ao regex","^https://lp\.profdidatica\.com\.br/projeto-literario(\?.*)?$"

"URL","^https://lp\.profdidatica\.com\.br/projeto-literario(\?.*)?$"
"Exibições de página","21713"


"Métrica","AreaMap"

"Área","Número de cliques","Taxa de cliques (CTR)"
"Aquele aluno que dizia que ler é chato, agora chega animado pra mostrar a ficha preenchida.

A turma inteira acompanhando a estante de leitura, comemorando cada livro colorido como uma pequena conquista.

E você, sem precisar montar tudo do zero, vendo a leitura acontecer com envolvimento real, e sentindo orgulho por ter feito isso acontecer.

👩‍🏫

De professor para professor

Esse sistema já mudou a minha realidade e a de centenas de colegas que hoje veem seus alunos lendo com vontade.","19","0,14%"
"BENEFÍCIOS PARA SEUS ALUNOS","2","0,02%"
"🔍

Ampliam o vocabulário e a compreensão leitora

Ao explorar histórias diversas, os alunos enriquecem a linguagem e aprendem a interpretar melhor.","4","0,03%"
"✨

Estimulam a criatividade e a imaginação

As histórias lidas e as atividades propostas abrem espaço para invenção, reflexão e expressão.","3","0,02%"
"Aprimoram a produção de texto","2","0,02%"
"🏆

Participam de uma competição saudável

A estante interativa cria um clima de desafio entre os alunos, incentivando a leitura contínua.","6","0,05%"
"A leitura vira um momento esperado da semana — os alunos se envolvem mais, participam mais e se tornam protagonistas.","2","0,02%"
"📚

▫▫ fichas literárias envolventes

Cada ficha é um roteiro completo para guiar a leitura, ajudando os alunos a interpretar e se conectar com a história de forma significativa.","17","0,13%"
"📝

Atividades de compreensão de leitura

Serão abordads questões e reflexões que incentivam os alunos a pensar criticamente sobre o livro, desenvolvendo habilidades essenciais de interpretação.","12","0,09%"
"Estante interativa para acompanhar o progresso","2","0,02%"
"Dois modelos de leitômetro onde cada aluno registra suas leituras, criando uma competição saudável e motivação extra para ler cada vez mais.","6","0,05%"
"✍️

Propostas de produção textual

Exercícios práticos que estimulam a escrita criativa e ajudam os alunos a expressar suas ideias sobre as histórias lidas em nosso bônus.","14","0,11%"
"📊

Tabela de acompanhamento personalizada

Dois modelos, um em PDF e outro em Google Planilhas, para que você possa registrar quais alunos já leram, o progresso de cada um e identificar quem precisa de mais incentivo.","15","0,11%"
"📖

Manual de aplicação passo a passo

Um guia claro e prático para você implementar o método com facilidade e garantir que seus alunos aproveitem ao máximo o projeto.","6","0,05%"
"✅

▫▫% das professoras que aplicaram o Projeto Literário relatam que seus alunos passaram a ler mais — inclusive aqueles que diziam não gostar de ler.

📈

O número médio de livros lidos por turma mais do que dobrou em apenas um semestre após a aplicação do projeto.

🏆

Uma metodologia prática e testada com sucesso por mais de ▫ mil alunos em salas de aula reais.","5","0,04%"
"💬 Veja o que professoras estão dizendo:","2","0,02%"
"O segredo está no equilíbrio entre emoção, estrutura e incentivo. O aluno é guiado com leveza e motivado a continuar porque se sente parte de um desafio real e estimulante.","4","0,03%"
"💙 Missão Literária

• Cada ficha guia a leitura de forma estruturada, despertando o lado emocional e imaginativo da criança
• A estante interativa cria uma competição saudável e visível, os alunos querem avançar por vontade própria
• O professor aplica com facilidade e consegue acompanhar o progresso de forma clara e prática","6","0,05%"
"Sim! quero meus alunos apaixonados pela leitura","6","0,05%"
"Para qual faixa etária esse material é indicado?","422","3,20%"
"O material é digital ou físico?","346","2,62%"
"Preciso de muito tempo para aplicar esse sistema?","254","1,93%"
"Como recebo o material após a compra?","262","1,99%"
"Posso usar o material com todas as minhas turmas?","258","1,96%"
"Funciona mesmo com turmas mais difíceis ou alunos desmotivados?","209","1,59%"
"E se eu não tiver experiência com projetos assim?","199","1,51%"
